product_id,url,product_name,cat_code,cat_caption
2004817,https://prom.ua/p2004817-product.html,Купить коврики автомобильные,avtomobilnye-kovriki,коврики автомобильные
1314,https://prom.ua/p1314-product.html,Patek Philippe,quartz-analog-watches,часы наручные и карманные
1316,https://prom.ua/p1316-product.html,Breitling,quartz-analog-watches,часы наручные и карманные
2397,https://prom.ua/p2397-product.html,часы наручные с лого на цифеблате,quartz-analog-watches,часы наручные и карманные
3548,https://prom.ua/p3548-product.html,часы наручные женские Police,quartz-analog-watches,часы наручные и карманные
3582,https://prom.ua/p3582-product.html,часы наручные мужские Police,quartz-analog-watches,часы наручные и карманные
3583,https://prom.ua/p3583-product.html,часы наручные unisex Police,quartz-analog-watches,часы наручные и карманные
3587,https://prom.ua/p3587-product.html,часы наручные мужские Police,quartz-analog-watches,часы наручные и карманные
3588,https://prom.ua/p3588-product.html,часы наручные мужские Police,quartz-analog-watches,часы наручные и карманные
3590,https://prom.ua/p3590-product.html,часы наручные мужские Police,quartz-analog-watches,часы наручные и карманные
3591,https://prom.ua/p3591-product.html,часы наручные женские Police,quartz-analog-watches,часы наручные и карманные
19403,https://prom.ua/p19403-product.html,total energy man,quartz-analog-watches,часы наручные и карманные
24130,https://prom.ua/p24130-product.html,Rado 0071,quartz-analog-watches,часы наручные и карманные
24246,https://prom.ua/p24246-product.html,Omega 0112,quartz-analog-watches,часы наручные и карманные
24261,https://prom.ua/p24261-product.html,Rado 0204,quartz-analog-watches,часы наручные и карманные
24266,https://prom.ua/p24266-product.html,Cartier 0167,quartz-analog-watches,часы наручные и карманные
24713,https://prom.ua/p24713-product.html,Piaget 0474,quartz-analog-watches,часы наручные и карманные
31112,https://prom.ua/p31112-product.html,Chanel 0405,quartz-analog-watches,часы наручные и карманные
58200,https://prom.ua/p58200-product.html,часы КОЖА,quartz-analog-watches,часы наручные и карманные
80191,https://prom.ua/p80191-product.html,фото,quartz-analog-watches,часы наручные и карманные
80723,https://prom.ua/p80723-product.html,"Часы наручные точные копии. Rolex, Breitling, Cartier, Omega, Panerai, Ferrari, Versace.",quartz-analog-watches,часы наручные и карманные
110799,https://prom.ua/p110799-product.html,Фото,quartz-analog-watches,часы наручные и карманные
120933,https://prom.ua/p120933-product.html,Наручные швейцарские часы,quartz-analog-watches,часы наручные и карманные
141293,https://prom.ua/p141293-product.html,apple,quartz-analog-watches,часы наручные и карманные
148276,https://prom.ua/p148276-product.html,телевизор,quartz-analog-watches,часы наручные и карманные
188602,https://prom.ua/p188602-product.html,BMW,quartz-analog-watches,часы наручные и карманные
190530,https://prom.ua/p190530-product.html,Alice,quartz-analog-watches,часы наручные и карманные
232608,https://prom.ua/p232608-product.html,BK2490-52E,quartz-analog-watches,часы наручные и карманные
232625,https://prom.ua/p232625-product.html,BT0001-12E,quartz-analog-watches,часы наручные и карманные
232627,https://prom.ua/p232627-product.html,BU0002-21PE,quartz-analog-watches,часы наручные и карманные
